id,CreationDate,AnswerCount,Score,CommentCount,ViewCount
68201148,30/06/2021 20:17,1,1,0,28
68157716,28/06/2021 4:48,1,0,0,78
68119135,24/06/2021 16:00,1,0,1,82
68086545,22/06/2021 15:32,1,0,1,34
68079842,22/06/2021 8:11,1,-1,1,154
68057612,20/06/2021 15:53,0,0,4,31
68036230,18/06/2021 13:40,0,0,0,22
68033553,18/06/2021 10:27,1,0,2,165
68013163,17/06/2021 4:57,1,0,0,36
67981531,15/06/2021 7:04,0,0,0,40
67980131,15/06/2021 4:40,1,0,0,70
67965567,14/06/2021 6:13,0,1,2,170
67945059,12/06/2021 2:07,0,0,0,50
67938179,11/06/2021 13:48,0,0,0,28
67861290,06/06/2021 16:20,1,0,2,109
67816250,03/06/2021 6:12,0,0,0,24
67806416,02/06/2021 13:47,0,0,0,13
67793667,01/06/2021 17:42,1,0,1,115
67787571,01/06/2021 10:56,0,0,0,45
67745331,28/05/2021 20:51,1,0,0,85
67665836,24/05/2021 1:47,1,0,0,186
67622716,20/05/2021 14:45,1,0,0,97
67577112,17/05/2021 21:15,1,0,0,214
67480541,11/05/2021 4:25,0,0,0,22
67454786,09/05/2021 6:12,1,0,0,60
67410013,05/05/2021 23:29,1,0,0,70
67380386,04/05/2021 7:22,1,0,0,127
67376217,03/05/2021 21:47,1,0,0,140
67336413,30/04/2021 15:18,1,1,0,443
67256916,25/04/2021 18:31,1,1,0,249
67201988,21/04/2021 19:01,1,0,0,46
67195843,21/04/2021 12:20,2,0,0,545
67185665,20/04/2021 20:07,0,0,0,24
67177836,20/04/2021 11:15,0,0,4,209
67130312,16/04/2021 18:18,0,1,0,107
67091631,14/04/2021 12:18,2,1,0,332
67075617,13/04/2021 13:14,0,1,2,183
67069901,13/04/2021 6:40,0,0,0,43
67041472,11/04/2021 4:31,0,1,2,262
67033377,10/04/2021 10:35,2,3,2,709
67031964,10/04/2021 7:46,1,1,0,488
66979948,07/04/2021 5:17,2,1,0,324
66943323,04/04/2021 16:14,1,0,0,376
66921203,02/04/2021 14:57,0,0,2,175
66902726,01/04/2021 10:20,1,0,0,173
66882751,31/03/2021 6:30,1,0,0,119
66867175,30/03/2021 8:18,2,1,0,398
66701767,19/03/2021 2:33,0,0,4,595
66699757,18/03/2021 22:03,1,2,1,57
66671508,17/03/2021 10:46,1,1,0,428
66605262,12/03/2021 18:22,2,1,0,222
66595991,12/03/2021 7:39,0,0,2,43
66592617,12/03/2021 0:45,1,0,0,385
66590890,11/03/2021 21:35,1,0,0,140
66539045,09/03/2021 0:14,1,2,1,2570
66511366,06/03/2021 22:39,1,1,0,202
66474130,04/03/2021 11:30,1,0,0,446
66340356,23/02/2021 20:08,1,1,0,505
66323085,22/02/2021 20:38,1,0,0,555
66180042,12/02/2021 22:51,1,2,0,278
66138656,10/02/2021 14:18,1,1,0,177
66008011,02/02/2021 10:37,0,0,0,11
65905974,26/01/2021 17:13,1,2,0,1270
65901665,26/01/2021 12:48,1,2,0,215
65896070,26/01/2021 4:54,1,2,0,203
65832927,21/01/2021 17:43,0,1,0,79
