id,CreationDate,AnswerCount,Score,CommentCount,ViewCount
68194701,30/06/2021 12:23,0,0,1,74
68193575,30/06/2021 11:04,2,2,0,177
68192599,30/06/2021 10:00,1,0,0,47
68176794,29/06/2021 10:17,0,0,0,8
68157017,28/06/2021 2:54,0,1,0,30
68155537,27/06/2021 21:46,1,1,1,276
68134372,25/06/2021 16:34,1,0,5,162
68132308,25/06/2021 14:02,0,0,0,27
68128454,25/06/2021 9:12,1,0,1,223
68126979,25/06/2021 7:17,2,0,2,1076
68126525,25/06/2021 6:39,0,1,0,54
68119450,24/06/2021 16:24,1,0,0,131
68119447,24/06/2021 16:24,0,0,0,56
68110078,24/06/2021 5:27,0,1,1,511
68098549,23/06/2021 11:00,2,0,0,126
68097068,23/06/2021 9:23,2,1,0,815
68094995,23/06/2021 7:00,2,1,0,30
68090736,22/06/2021 21:09,2,0,0,228
68075693,21/06/2021 23:04,1,0,1,44
68055851,20/06/2021 12:30,0,0,3,146
68055810,20/06/2021 12:24,1,0,0,21
68046948,19/06/2021 12:50,1,1,0,84
68042683,19/06/2021 0:37,0,0,0,40
68042035,18/06/2021 22:26,0,0,0,68
68033879,18/06/2021 10:52,1,0,0,217
68030919,18/06/2021 7:17,1,0,2,26
68028710,18/06/2021 2:50,0,0,0,41
68028264,18/06/2021 1:30,2,0,5,147
68026872,17/06/2021 21:45,0,0,1,48
68011904,17/06/2021 1:52,1,1,0,136
68011766,17/06/2021 1:27,1,1,2,30
68010914,16/06/2021 22:52,1,3,0,994
68009697,16/06/2021 20:34,0,0,0,52
68007865,16/06/2021 17:59,0,0,0,31
67990952,15/06/2021 17:28,1,1,0,475
67981358,15/06/2021 6:52,1,1,0,358
67973664,14/06/2021 16:05,1,0,0,88
67972546,14/06/2021 14:53,1,0,1,114
67963221,13/06/2021 22:57,0,0,0,63
67960224,13/06/2021 16:02,1,0,0,114
67952528,12/06/2021 19:53,0,0,0,97
67930786,11/06/2021 3:10,1,0,0,103
67909111,09/06/2021 17:33,1,0,3,503
67907513,09/06/2021 15:44,1,1,0,729
67906786,09/06/2021 15:00,0,0,1,20
67905085,09/06/2021 13:25,0,0,9,92
67899771,09/06/2021 7:46,1,1,0,26
67898778,09/06/2021 6:35,1,0,0,538
67898094,09/06/2021 5:29,1,1,2,334
67889002,08/06/2021 14:25,1,0,0,169
67876978,07/06/2021 18:31,2,0,0,714
67864899,07/06/2021 1:06,1,0,0,42
67855477,06/06/2021 3:06,0,0,0,36
67853829,05/06/2021 20:48,0,0,0,68
67844333,04/06/2021 21:46,1,0,0,27
67839603,04/06/2021 15:06,1,0,0,87
67836349,04/06/2021 11:21,1,0,3,34
67826301,03/06/2021 17:42,0,1,0,37
67822844,03/06/2021 13:57,0,1,0,135
67821494,03/06/2021 12:27,0,0,9,374
67813268,02/06/2021 22:27,1,0,0,41
67805115,02/06/2021 12:28,1,1,2,79
67802894,02/06/2021 9:58,1,1,1,344
67792766,01/06/2021 16:37,0,0,0,47
67748414,29/05/2021 6:26,1,-1,0,30
67731223,27/05/2021 23:48,1,0,0,163
67721405,27/05/2021 11:40,1,1,2,56
67712549,26/05/2021 20:51,1,0,1,140
67702298,26/05/2021 9:36,1,1,8,209
67700744,26/05/2021 7:53,1,2,0,144
67683282,25/05/2021 7:11,1,0,0,89
67679771,24/05/2021 22:54,1,0,3,36
67677448,24/05/2021 18:50,0,0,0,38
67674185,24/05/2021 14:49,1,1,3,101
